Shape,Zx,Sx,Iy,h0,J,ry,Cw
W44X408,2000,1730,1520,42.6,134,3.56,691000
W44X368,1800,1560,1350,42.4,100,3.54,608000
W44X335,1620,1410,1200,42.2,74.7,3.49,535000
W44X290,1410,1240,1040,42.0,50.9,3.49,461000
W44X262,1270,1110,923,41.9,37.3,3.47,405000
W44X230,1100,971,796,41.7,24.9,3.43,346000
W40X655,3080,2590,2870,40.1,589,3.86,1150000
W40X593,2760,2340,2520,39.8,445,3.80,997000
W40X503,2320,1980,2040,39.3,277,3.72,789000
W40X431,1960,1690,1690,38.9,177,3.65,638000
W40X397,1800,1560,1540,38.8,142,3.64,579000
W40X372,1680,1460,1420,38.6,116,3.60,528000
W40X362,1640,1420,1380,38.6,109,3.60,513000
W40X324,1460,1280,1220,38.4,79.4,3.58,448000
W40X297,1330,1170,1090,38.2,61.2,3.54,399000
W40X277,1250,1100,1040,38.1,51.5,3.58,379000
W40X249,1120,993,926,38.0,38.1,3.55,334000
W40X215,964,859,803,37.8,24.8,3.54,284000
W40X199,869,770,695,37.6,18.3,3.45,246000
W40X392,1710,1440,803,39.1,172,2.64,306000
W40X331,1430,1210,644,38.7,105,2.57,241000
W40X327,1410,1200,640,38.7,103,2.58,239000
W40X294,1270,1080,562,38.5,76.6,2.55,208000
W40X278,1190,1020,521,38.4,65.0,2.52,192000
W40X264,1130,971,493,38.3,56.1,2.52,181000
W40X235,1010,875,444,38.1,41.3,2.54,161000
W40X211,906,786,390,38.0,30.4,2.51,141000
W40X183,774,675,331,37.8,19.3,2.49,118000
W40X167,693,600,283,37.6,14.0,2.40,99700
W40X149,598,513,229,37.4,9.36,2.29,80000
W36X925,4130,3390,4940,38.6,1430,4.26,1840000
W36X853,3920,3250,4600,38.6,1240,4.28,1710000
W36X802,3660,3040,4210,38.3,1050,4.22,1540000
W36X723,3270,2740,3700,37.9,785,4.17,1330000
W36X652,2910,2460,3230,37.6,593,4.10,1130000
W36X529,2330,1990,2490,36.9,327,4.00,846000
W36X487,2130,1830,2250,36.6,258,3.96,754000
W36X441,1910,1650,1990,36.5,194,3.92,661000
W36X395,1710,1490,1750,36.2,142,3.88,575000
W36X361,1550,1350,1570,36.0,109,3.85,509000
W36X330,1410,1240,1420,35.9,84.3,3.83,456000
W36X302,1280,1130,1300,35.6,64.3,3.82,412000
W36X282,1190,1050,1200,35.5,52.7,3.80,378000
W36X262,1100,972,1090,35.5,41.6,3.76,342000
W36X247,1030,913,1010,35.4,34.7,3.74,316000
W36X231,963,854,940,35.2,28.7,3.71,292000
W36X387,1610,1360,882,36.5,172,2.78,294000
W36X350,1440,1220,780,36.3,129,2.75,257000
W36X318,1300,1110,682,36.1,98.3,2.70,222000
W36X286,1160,1000,602,35.9,72.8,2.68,194000
W36X256,1040,895,528,35.7,52.9,2.65,168000
W36X232,936,809,468,35.5,39.6,2.62,148000
W36X210,833,719,411,35.3,28.0,2.58,128000
W36X194,767,664,375,35.2,22.2,2.56,116000
W36X182,718,623,347,35.1,18.5,2.55,107000
W36X170,668,581,320,35.1,15.1,2.53,98500
W36X160,624,542,295,35.0,12.4,2.50,90200
W36X150,581,504,270,35.0,10.1,2.47,82200
W36X135,509,439,225,34.8,7.00,2.38,68100
W33X387,1560,1350,1620,33.7,148,3.77,459000
W33X354,1420,1240,1460,33.5,115,3.74,408000
W33X318,1270,1110,1290,33.3,84.4,3.71,357000
W33X291,1160,1020,1160,33.1,65.1,3.68,319000
W33X263,1040,919,1040,32.9,48.7,3.66,281000
W33X241,940,831,933,32.8,36.2,3.62,251000
W33X221,857,759,840,32.6,27.8,3.59,224000
W33X201,773,686,749,32.6,20.8,3.56,198000
W33X169,629,549,310,32.6,17.7,2.50,82400
W33X152,559,487,273,32.4,12.4,2.47,71700
W33X141,514,448,246,32.3,9.70,2.43,64400
W33X130,467,406,218,32.2,7.37,2.39,56600
W33X118,415,359,187,32.2,5.30,2.32,48300
W30X391,1450,1250,1550,30.8,173,3.67,366000
W30X357,1320,1140,1390,30.6,134,3.64,324000
W30X326,1190,1040,1240,30.4,103,3.60,287000
W30X292,1060,930,1100,30.2,75.2,3.58,250000
W30X261,943,829,959,30.0,54.1,3.53,215000
W30X235,847,748,855,29.8,40.3,3.51,190000
W30X211,751,665,757,29.6,28.4,3.49,166000
W30X191,675,600,673,29.5,21.0,3.46,146000
W30X173,607,541,598,29.3,15.6,3.42,129000
W30X148,500,436,227,29.5,14.5,2.28,49400
W30X132,437,380,196,29.3,9.72,2.25,42100
W30X124,408,355,181,29.3,7.99,2.23,38600
W30X116,378,329,164,29.2,6.43,2.19,34900
W30X108,346,299,146,29.0,4.99,2.15,30900
W30X99,312,269,128,29.0,3.77,2.10,26800
W30X90,283,245,115,28.9,2.84,2.09,24000
W27X539,1890,1570,2110,29.0,496,3.65,443000
W27X368,1240,1060,1310,27.9,170,3.48,255000
W27X336,1130,972,1180,27.7,131,3.45,226000
W27X307,1030,887,1050,27.5,101,3.41,199000
W27X281,936,814,953,27.4,79.5,3.39,178000
W27X258,852,745,859,27.2,61.6,3.36,159000
W27X235,772,677,769,27.1,47.0,3.33,141000
W27X217,711,627,704,26.9,37.6,3.32,128000
W27X194,631,559,619,26.8,27.1,3.29,111000
W27X178,570,505,555,26.6,20.1,3.25,98400
W27X161,515,458,497,26.5,15.1,3.23,87300
W27X146,464,414,443,26.4,11.3,3.20,77200
W27X129,395,345,184,26.5,11.1,2.21,32500
W27X114,343,299,159,26.4,7.33,2.18,27600
W27X102,305,267,139,26.3,5.28,2.15,24000
W27X94,278,243,124,26.2,4.03,2.12,21300
W27X84,244,213,106,26.1,2.81,2.07,17900
W24X370,1130,957,1160,25.3,201,3.27,186000
W24X335,1020,864,1030,25.0,152,3.23,161000
W24X306,922,789,919,24.8,117,3.20,142000
W24X279,835,718,823,24.6,90.5,3.17,125000
W24X250,744,644,724,24.4,66.6,3.14,108000
W24X229,675,588,651,24.3,51.3,3.11,96100
W24X207,606,531,578,24.1,38.3,3.08,84100
W24X192,559,491,530,24.0,30.8,3.07,76300
W24X176,511,450,479,23.9,23.9,3.04,68400
W24X162,468,414,443,23.8,18.5,3.05,62600
W24X146,418,371,391,23.6,13.4,3.01,54600
W24X131,370,329,340,23.5,9.50,2.97,47100
W24X117,327,291,297,23.5,6.72,2.94,40800
W24X104,289,258,259,23.4,4.72,2.91,35200
W24X103,280,245,119,23.5,7.07,1.99,16600
W24X94,254,222,109,23.4,5.26,1.98,15000
W24X84,224,196,94.4,23.3,3.70,1.95,12800
W24X76,200,176,82.5,23.2,2.68,1.92,11100
W24X68,177,154,70.4,23.1,1.87,1.87,9430
W24X62,153,131,34.5,23.1,1.71,1.38,4620
W24X55,134,114,29.1,23.1,1.18,1.34,3870
W21X275,749,638,787,21.9,107,3.10,94400
W21X248,671,576,699,21.7,80.7,3.08,82400
W21X223,601,520,614,21.6,59.5,3.04,71700
W21X201,530,461,542,21.4,40.9,3.02,62000
W21X182,476,417,483,21.2,30.7,3.00,54400
W21X166,432,380,435,21.1,23.6,2.99,48500
W21X147,373,329,376,21.0,15.4,2.95,41100
W21X132,333,295,333,20.8,11.3,2.93,36000
W21X122,307,273,305,20.7,8.98,2.92,32700
W21X111,279,249,274,20.6,6.83,2.90,29200
W21X101,253,227,248,20.6,5.21,2.89,26200
W21X93,221,192,92.9,20.7,6.03,1.84,9940
W21X83,196,171,81.4,20.6,4.34,1.83,8630
W21X73,172,151,70.6,20.5,3.02,1.81,7410
W21X68,160,140,64.7,20.4,2.45,1.80,6760
W21X62,144,127,57.5,20.4,1.83,1.77,5960
W21X55,126,110,48.4,20.3,1.24,1.73,4980
W21X48,107,93.0,38.7,20.2,0.803,1.66,3950
W21X57,129,111,30.6,20.5,1.77,1.35,3190
W21X50,110,94.5,24.9,20.3,1.14,1.30,2570
W21X44,95.4,81.6,20.7,20.3,0.770,1.26,2110
W18X311,754,624,795,19.6,176,2.95,76200
W18X283,676,565,704,19.4,134,2.91,65900
W18X258,611,514,628,19.2,103,2.88,57600
W18X234,549,466,558,19.0,78.7,2.85,50100
W18X211,490,419,493,18.8,58.6,2.82,43400
W18X192,442,380,440,18.7,44.7,2.79,38000
W18X175,398,344,391,18.4,33.8,2.76,33300
W18X158,356,310,347,18.3,25.2,2.74,29000
W18X143,322,282,311,18.2,19.2,2.72,25700
W18X130,290,256,278,18.1,14.5,2.70,22700
W18X119,262,231,253,17.9,10.6,2.69,20300
W18X106,230,204,220,17.8,7.48,2.66,17400
W18X97,211,188,201,17.7,5.86,2.65,15800
W18X86,186,166,175,17.6,4.10,2.63,13600
W18X76,163,146,152,17.5,2.83,2.61,11700
W18X71,146,127,60.3,17.7,3.49,1.70,4700
W18X65,133,117,54.8,17.7,2.73,1.69,4240
W18X60,123,108,50.1,17.5,2.17,1.68,3850
W18X55,112,98.3,44.9,17.5,1.66,1.67,3430
W18X50,101,88.9,40.1,17.4,1.24,1.65,3040
W18X46,90.7,78.8,22.5,17.5,1.22,1.29,1720
W18X40,78.4,68.4,19.1,17.4,0.810,1.27,1440
W18X35,66.5,57.6,15.3,17.3,0.506,1.22,1140
W16X100,198,175,186,16.0,7.73,2.51,11900
W16X89,175,155,163,15.9,5.45,2.49,10200
W16X77,150,134,138,15.7,3.57,2.47,8590
W16X67,130,117,119,15.6,2.39,2.46,7300
W16X57,105,92.2,43.1,15.7,2.22,1.60,2660
W16X50,92.0,81.0,37.2,15.7,1.52,1.59,2270
W16X45,82.3,72.7,32.8,15.5,1.11,1.57,1990
W16X40,73.0,64.7,28.9,15.5,0.794,1.57,1730
W16X36,64.0,56.5,24.5,15.5,0.545,1.52,1460
W16X31,54.0,47.2,12.4,15.5,0.461,1.17,739
W16X26,44.2,38.4,9.6,15.4,0.262,1.12,565
W14X873,2030,1530,6170,18.1,2270,4.90,505000
W14X808,1830,1390,5550,17.7,1840,4.83,434000
W14X730,1660,1280,4720,17.5,1450,4.69,362000
W14X665,1480,1150,4170,17.1,1120,4.62,305000
W14X605,1320,1040,3680,16.7,869,4.55,258000
W14X550,1180,931,3250,16.4,669,4.49,219000
W14X500,1050,838,2880,16.1,514,4.43,187000
W14X455,936,756,2560,15.8,395,4.38,160000
W14X426,869,706,2360,15.7,331,4.34,144000
W14X398,801,656,2170,15.5,273,4.31,129000
W14X370,736,607,1990,15.2,222,4.27,116000
W14X342,672,558,1810,15.0,178,4.24,103000
W14X311,603,506,1610,14.8,136,4.20,89100
W14X283,542,459,1440,14.6,104,4.17,77700
W14X257,487,415,1290,14.5,79.1,4.13,67800
W14X233,436,375,1150,14.3,59.5,4.10,59000
W14X211,390,338,1030,14.1,44.6,4.07,51500
W14X193,355,310,931,14.1,34.8,4.05,45900
W14X176,320,281,838,13.9,26.5,4.02,40500
W14X159,287,254,748,13.8,19.7,4.00,35600
W14X145,260,232,677,13.7,15.2,3.98,31700
W14X132,234,209,548,13.7,12.3,3.76,25500
W14X120,212,190,495,13.6,9.37,3.74,22700
W14X109,192,173,447,13.4,7.12,3.73,20200
W14X99,173,157,402,13.4,5.37,3.71,18000
W14X90,157,143,362,13.3,4.06,3.70,16000
W14X82,139,123,148,13.4,5.07,2.48,6710
W14X74,126,112,134,13.4,3.87,2.48,5990
W14X68,115,103,121,13.3,3.01,2.46,5380
W14X61,102,92.1,107,13.3,2.19,2.45,4710
W14X53,87.1,77.8,57.7,13.2,1.94,1.92,2540
W14X48,78.4,70.2,51.4,13.2,1.45,1.91,2240
W14X43,69.6,62.6,45.2,13.2,1.05,1.89,1950
W14X38,61.5,54.6,26.7,13.6,0.798,1.55,1230
W14X34,54.6,48.6,23.3,13.5,0.569,1.53,1070
W14X30,47.3,42.0,19.6,13.4,0.380,1.49,887
W14X26,40.2,35.3,8.91,13.5,0.358,1.08,405
W14X22,33.2,29.0,7.00,13.4,0.208,1.04,314
W12X336,603,483,1190,13.8,243,3.47,57000
W12X305,537,435,1050,13.6,185,3.42,48600
W12X279,481,393,937,13.4,143,3.38,42000
W12X252,428,353,828,13.2,108,3.34,35800
W12X230,386,321,742,13.0,83.8,3.31,31200
W12X210,348,292,664,12.8,64.7,3.28,27200
W12X190,311,263,589,12.7,48.8,3.25,23600
